key,value
meta:symbol,XAUUSD
meta:news_filter,false
meta:news_required,false
meta:news_available,false
meta:require_h1_alignment,false
sweep_at:2026.01.07 17:30,1
sweep_at:2026.01.08 15:30,1
sweep_at:2026.01.15 16:15,1
sweep_at:2026.01.23 16:00,1
sweep_at:2026.01.29 18:00,1
sweep_at:2026.02.03 16:00,1
sweep_at:2026.02.04 17:00,1
sweep_at:2026.02.06 16:30,1
sweep_at:2026.02.11 15:45,1
sweep_at:2026.02.12 17:15,1
sweep_at:2026.02.13 15:45,1
sweep_at:2026.02.13 16:30,1
sweep_at:2026.02.13 17:00,1
sweep_at:2026.02.18 15:45,1
sweep_at:2026.02.18 17:45,1
sweep_at:2026.02.24 16:30,1
sweep_at:2026.02.24 17:45,1
sweep_at:2026.03.04 16:00,1
sweep_at:2026.03.04 17:00,1
sweep_at:2026.03.04 17:15,1
sweep_at:2026.03.06 18:00,1
sweep_at:2026.03.11 16:00,1
sweep_at:2026.03.12 17:30,1
sweep_at:2026.03.16 16:15,1
sweep_at:2026.03.20 15:30,1
sweep_at:2026.03.23 16:15,1
sweep_at:2026.03.25 17:30,1
sweep_at:2026.03.26 16:30,1
sweep_at:2026.04.02 17:30,1
sweep_at:2026.04.08 15:45,1
sweep_at:2026.04.13 17:00,1
sweep_at:2026.04.14 17:15,1
sweep_at:2026.04.16 17:15,1
sweep_at:2026.04.21 15:45,1
sweep_at:2026.04.21 18:00,1
sweep_at:2026.05.01 17:30,1
sweep_at:2026.05.04 16:45,1
sweep_at:2026.05.05 16:30,1
sweep_at:2026.05.07 16:45,1
sweep_at:2026.05.08 17:15,1
sweep_at:2026.05.18 16:15,1
sweep_at:2026.05.18 17:15,1
sweep_at:2026.05.18 17:45,1
sweep_at:2026.05.26 15:45,1
sweep_at:2026.05.29 15:30,1
sweep_at:2026.06.04 17:00,1
sweep_at:2026.06.04 17:45,1
sweep_at:2026.06.05 15:30,1
sweep_at:2026.06.09 17:00,1
sweep_at:2026.06.25 16:45,1
sweep_at:2026.06.26 15:45,1
sweep_at:2026.06.29 15:45,1
sweep_at:2026.06.29 17:30,1
sweep_at:2026.07.06 16:45,1
sweep_at:2026.07.06 18:00,1
sweep_at:2026.07.15 16:15,1
sweep_at:2026.07.27 15:30,1
sweep_at:2026.07.28 17:30,1
sweep_at:2026.07.29 15:45,1
sweep_at:2026.07.31 17:15,1
sweep_at:2026.08.03 16:00,1
sweep_at:2026.08.03 16:45,1
sweep_at:2026.08.06 16:30,1
