key,value
meta:symbol,XAUUSD
meta:news_filter,false
meta:news_required,false
meta:news_available,false
meta:require_h1_alignment,true
sweep_at:2026.04.16 18:15,1
sweep_at:2026.04.30 09:00,1
sweep_at:2026.05.01 17:45,1
sweep_at:2026.05.04 09:15,1
sweep_at:2026.05.04 10:15,1
sweep_at:2026.05.04 17:00,1
sweep_at:2026.05.05 10:45,1
sweep_at:2026.05.05 16:30,1
sweep_at:2026.05.18 07:15,1
sweep_at:2026.05.18 15:00,1
sweep_at:2026.05.25 07:00,1
sweep_at:2026.06.05 03:15,1
sweep_at:2026.06.05 15:30,1
sweep_at:2026.06.12 18:45,1
sweep_at:2026.06.12 19:30,1
sweep_at:2026.06.17 21:45,1
sweep_at:2026.06.18 12:15,1
sweep_at:2026.06.18 20:00,1
sweep_at:2026.06.22 01:15,1
sweep_at:2026.07.01 21:30,1
sweep_at:2026.07.01 23:00,1
sweep_at:2026.07.06 09:30,1
sweep_at:2026.07.06 13:15,1
sweep_at:2026.07.07 07:00,1
sweep_at:2026.07.15 06:30,1
sweep_at:2026.07.23 07:30,1
sweep_at:2026.07.27 09:00,1
sweep_at:2026.07.29 05:45,1
sweep_at:2026.07.29 15:45,1
sweep_at:2026.07.30 08:15,1
sweep_at:2026.07.31 07:15,1
sweep_at:2026.07.31 10:45,1
sweep_at:2026.08.03 12:45,1
sweep_at:2026.08.06 08:45,1
